,VAGA,ID,IDADE,MBA,PHD,CLOUD_CERT,SGBD_CERT,HORAS_ESTUDO,QT_FILHOS,CNH,ANOS_EXP,SCORE
3,2,3,33.8167521165255,1,0,1,1,8.20789022514908,1,0,12.9323060745163,156.580244482786
5,2,5,35.8490602869659,1,0,1,1,5.76517754341375,0,0,13.4810292805352,164.418613310073
8,2,8,33.1358259450529,1,1,0,1,5.19531893737057,1,1,12.7484560082187,158.370610220755
13,2,13,37.7894523525462,1,0,1,1,8.64048734659441,1,1,14.0049351382419,169.964650881256
14,2,14,35.469105328307,1,1,1,0,9.40454230983803,1,1,13.3784414416973,155.584413128162
17,2,17,33.1724931901718,1,0,1,0,6.33588878180618,0,1,12.7583561644008,150.456656376981
18,2,18,34.5595965275782,1,0,0,1,11.2078036314533,0,0,13.1328740655005,160.143241801149
19,2,19,37.8036617388844,0,1,0,0,7.8625119167719,0,1,14.0087716725532,156.232432382719
21,2,21,39.839644474576,1,1,1,1,9.77749692648725,1,0,14.5584870111899,168.059629964547
23,2,23,35.5102830412504,1,0,0,0,9.96090205276028,0,0,13.389559424192,158.993821638438
27,2,27,35.9028379934083,1,1,0,0,8.84717211934699,1,1,13.4955492612747,163.797812756801
31,2,31,37.7139897253168,0,0,1,0,5.61052764084271,3,1,13.9845602288899,153.912368720511
32,2,32,33.0670787283777,0,1,0,0,7.1264653886479,1,1,12.7298942597164,131.448904329976
37,2,37,38.438864015199,1,1,0,1,9.47452693378805,2,0,14.1802762871581,165.617181457253
40,2,40,34.0764574521137,0,1,1,1,8.91815409002981,1,0,13.0024265151251,140.038467991092
41,2,41,40.0224595763202,0,0,1,0,8.89638284052567,0,1,14.6078470886609,157.363997852765
44,2,44,35.818010616714,1,0,0,1,6.65553080493445,1,1,13.4726458695672,158.494576107021
47,2,47,32.2057070553445,1,1,1,1,4.78218955364216,0,1,12.4973239079974,156.541070078358
48,2,48,33.9390050351178,0,0,1,1,7.56755539200992,1,0,12.9653143625362,139.873566124508
49,2,49,33.0323725369222,0,0,1,1,8.95607277306489,1,1,12.7205235880234,135.856137938536
51,2,51,43.2600571618005,1,1,0,1,8.52121783807524,1,0,15.4819984367405,179.527472407146
52,2,52,33.376582782691,0,1,0,1,7.76553036653291,2,0,12.813460354381,133.158920260283
53,2,53,32.6061695763391,0,0,1,1,5.61442394731863,1,1,12.605448788666,137.319442731918
55,2,55,38.3746413122714,0,0,0,1,8.3991738471935,2,0,14.1629361573677,152.24770370047
58,2,58,32.4984724370092,1,1,1,0,8.06013284581597,1,0,12.5763705610469,140.790296554251
59,2,59,36.1589756162552,0,0,1,0,7.41792166210427,1,1,13.5647064194433,144.87398357527
66,2,66,32.0979750871574,1,0,0,1,6.40920263919462,1,1,12.4682362765869,154.205540458562
69,2,69,37.05134447865,0,0,1,0,8.53195520677233,0,1,13.8056460122899,160.345581101728
70,2,70,36.1967849639767,1,0,1,1,10.2443722486871,1,0,13.5749149433281,161.133095435143
71,2,71,35.2862755163828,1,1,1,1,6.38785715324065,0,1,13.3290773924778,156.63717365887
73,2,73,34.9931846951886,0,1,1,1,6.04851126858109,1,1,13.2499428707553,139.212584466705
77,2,77,41.0059175690061,1,0,1,0,7.52138142675574,0,0,14.8733807466861,171.945271540533
80,2,80,34.9252931899504,0,1,1,1,8.90822288523595,2,0,13.231612164341,138.385640945278
84,2,84,32.3810391658342,0,0,1,1,6.8156405743731,1,0,12.5446635778296,137.855191091117
88,2,88,34.8819354461483,0,0,0,0,8.3940196913906,0,1,13.2199055735144,153.677626644068
92,2,92,35.9962134887824,1,1,1,0,6.69682337991165,1,0,13.5207606450257,158.423641393215
93,2,93,34.7111240142716,1,1,0,1,9.36513369704593,0,1,13.1737864869077,157.131913544848
95,2,95,36.8089726919557,1,1,1,1,7.58963029761309,1,1,13.7402056298825,164.397162578598
96,2,96,37.2116748579305,0,1,0,1,5.54752644327961,2,1,13.8489352146956,148.423895236057
99,2,99,34.8685338692153,1,0,1,1,8.1008259305555,1,0,13.2162871477425,146.890290510252
100,2,100,41.3277371763085,0,0,1,1,7.66803481360086,1,1,14.9602720406577,151.843778089166
111,2,111,34.5974214233996,0,0,1,0,5.70868283243881,1,0,13.1430867873723,141.232503677865
112,2,112,35.4078482375841,0,1,0,0,7.66776271378233,1,0,13.3619020272021,147.602627047196
114,2,114,34.6726287843701,1,1,0,1,10.2688096415044,2,0,13.1633927748343,146.970558886263
