,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District
2457,1400,170,3,1,0,2,No,No,No,No,Liberdade
9442,564,78,3,2,1,1,No,No,Yes,No,Tucuruvi
9460,450,47,2,2,1,1,No,No,Yes,No,Vila Guilherme
2310,208,34,1,2,1,0,No,No,No,No,Brás
32,811,107,3,3,1,2,Yes,No,Yes,No,Belém
949,300,48,2,2,1,1,No,No,No,No,Cidade Ademar
9662,1900,62,1,2,1,2,No,Yes,No,No,Iguatemi
10271,780,130,3,2,1,1,No,Yes,No,No,Bela Vista
1741,0,55,2,2,1,1,No,No,No,No,Cachoeirinha
3118,0,50,2,1,0,1,No,No,No,No,Penha
1748,450,50,2,2,1,1,Yes,No,No,No,Cachoeirinha
10623,654,44,1,1,0,1,No,No,No,No,Itaim Bibi
1526,2100,222,4,6,4,4,Yes,Yes,Yes,No,Vila Mariana
3537,300,45,1,2,1,1,No,Yes,Yes,No,Ipiranga
9745,0,40,1,2,1,1,Yes,No,No,No,São Miguel
3498,240,65,2,1,0,1,No,No,No,No,Cidade Dutra
4782,532,52,2,1,0,1,No,No,No,No,Pirituba
3376,470,64,2,2,1,1,No,No,Yes,No,Cambuci
9420,1,49,2,2,1,1,No,No,No,No,Tremembé
9256,2900,391,4,2,1,1,No,No,No,No,República
1585,375,63,3,2,1,1,No,No,No,No,Alto de Pinheiros
2038,0,47,3,2,1,1,Yes,Yes,Yes,No,Raposo Tavares
728,553,52,1,2,1,1,Yes,No,No,No,Cambuci
2103,411,50,2,2,1,2,Yes,No,Yes,No,Vila Leopoldina
3626,5990,280,2,3,2,4,No,Yes,Yes,No,Itaim Bibi
3706,650,78,3,2,0,1,No,No,No,No,Jabaquara
3608,536,40,1,1,0,1,No,Yes,No,No,Itaim Bibi
1315,500,48,2,2,1,1,No,No,No,No,Sacomã
843,1100,133,3,3,1,2,No,No,No,No,Campo Grande
3592,656,49,1,1,0,1,No,No,No,No,Itaim Bibi
405,246,57,2,2,1,1,No,No,No,No,Sapopemba
414,542,65,3,2,1,1,No,No,No,No,Sapopemba
1139,1000,114,3,3,1,2,No,Yes,Yes,No,Jabaquara
346,290,46,2,2,1,1,Yes,No,No,No,Parque do Carmo
9738,0,48,2,2,1,1,No,No,No,No,São Mateus
9294,590,64,2,2,1,1,No,No,No,No,Casa Verde
4324,495,63,2,2,1,2,No,No,Yes,No,Butantã
2630,368,49,1,1,0,1,No,Yes,Yes,No,Casa Verde
10402,570,54,2,2,1,1,No,No,Yes,No,Água Rasa
9728,246,56,2,2,1,1,No,No,No,No,São Lucas
3090,350,55,2,1,0,1,No,No,No,No,Itaquera
9746,0,50,1,2,1,1,No,No,No,No,São Miguel
1746,605,65,3,2,1,1,No,No,No,No,Cachoeirinha
66,0,55,2,2,1,1,Yes,No,No,No,Cangaíba
3495,600,56,2,1,0,1,No,No,No,No,Cidade Ademar
9564,554,62,2,2,1,1,No,No,Yes,No,Água Rasa
3712,3800,210,4,3,2,3,No,Yes,Yes,No,Jardim Paulista
10404,280,35,1,1,0,1,No,No,No,No,Aricanduva
9807,428,70,2,2,1,2,No,No,No,No,Vila Prudente
413,330,56,2,2,1,1,No,No,No,No,Sapopemba
914,230,50,2,2,1,1,No,No,No,No,Capão Redondo
1330,400,52,2,2,1,1,No,No,No,No,Sacomã
4129,800,90,2,2,1,2,No,No,Yes,No,Vila Andrade
9663,0,62,1,2,1,2,No,No,No,No,Iguatemi
2091,700,35,1,2,1,1,No,Yes,No,No,Vila Leopoldina
10145,450,48,2,2,1,1,No,No,Yes,No,Lapa
3013,1350,127,3,4,3,2,No,No,Yes,No,Carrão
10321,495,56,2,1,0,1,No,No,Yes,No,Liberdade
2325,590,72,3,2,1,1,No,No,Yes,No,Brás
9665,1200,104,2,3,1,2,Yes,Yes,No,No,Iguatemi
2705,585,50,3,2,1,1,No,No,Yes,No,Mandaqui
2917,390,45,2,1,0,1,No,No,No,No,Aricanduva
9817,796,110,3,2,1,1,No,No,No,No,Cambuci
2453,770,49,1,1,0,1,No,Yes,Yes,No,Liberdade
3864,4200,510,6,5,4,3,No,No,Yes,No,Morumbi
3093,360,47,2,1,0,1,No,No,Yes,No,Itaquera
3110,0,56,2,1,0,1,No,No,No,No,José Bonifácio
10806,1342,90,3,2,1,1,No,Yes,No,No,Vila Mariana
534,583,68,2,2,1,1,Yes,No,Yes,No,Tatuapé
156,0,48,2,2,1,1,No,No,No,No,Cidade Tiradentes
4695,3200,230,4,5,4,4,No,No,No,No,Pinheiros
3822,2000,210,4,3,2,3,No,No,Yes,No,Moema
939,800,91,3,1,2,2,Yes,No,Yes,No,Cidade Ademar
11157,1100,35,1,2,1,1,Yes,Yes,Yes,No,Vila Olimpia
4222,986,80,2,1,0,1,Yes,No,Yes,No,Alto de Pinheiros
3932,330,60,2,2,1,1,No,No,Yes,No,Pedreira
9997,493,35,1,2,1,1,No,Yes,No,No,Santo Amaro
3970,580,54,2,1,0,1,No,Yes,No,No,Sacomã
2640,456,49,1,1,0,1,No,Yes,Yes,No,Casa Verde
9749,390,45,1,2,1,1,Yes,No,No,No,São Rafael
3518,1600,240,4,5,4,4,Yes,No,Yes,No,Ipiranga
2223,547,56,2,1,0,1,No,No,No,No,Bela Vista
2554,656,70,2,1,0,0,No,Yes,No,No,Santa Cecília
3991,1148,145,3,2,1,1,No,No,No,No,Santo Amaro
1246,2194,280,4,5,2,3,Yes,No,No,No,Morumbi
675,515,62,2,2,1,1,Yes,Yes,Yes,No,Vila Matilde
381,400,50,2,2,1,1,No,No,Yes,No,Penha
2426,326,40,1,1,0,0,No,No,No,No,Consolação
10430,742,52,2,1,0,1,No,No,No,No,Carrão
3319,580,59,2,1,0,1,No,No,Yes,No,Vila Prudente
2355,273,31,1,1,0,1,No,No,No,No,Brás
4234,1300,120,3,2,1,2,No,No,Yes,No,Alto de Pinheiros
3701,1000,114,3,2,1,2,No,No,Yes,No,Jabaquara
223,1031,120,3,2,1,1,No,No,No,No,Iguatemi
5426,1380,135,4,4,3,3,No,No,Yes,No,Brooklin
2865,0,60,1,2,1,2,No,No,Yes,No,Vila Maria
2372,432,43,1,1,0,1,No,Yes,Yes,No,Consolação
4840,580,70,1,2,1,1,No,Yes,Yes,No,Vila Leopoldina
893,0,42,2,2,1,1,Yes,No,Yes,No,Campo Limpo
10912,550,62,2,2,1,1,No,No,No,No,Lapa
1156,555,70,3,2,1,1,No,No,Yes,No,Jardim Ângela
3255,527,60,2,1,0,1,No,No,No,No,Vila Matilde
3639,700,50,1,2,1,1,No,No,Yes,No,Itaim Bibi
5220,776,65,2,2,1,1,No,No,No,No,Mooca
1564,800,96,3,2,1,1,No,No,Yes,No,Vila Sônia
10102,692,57,2,2,1,1,Yes,Yes,Yes,No,Butantã
9937,1034,100,2,2,1,1,No,No,No,No,Jardim Paulista
9205,861,58,2,2,1,1,Yes,Yes,Yes,No,Liberdade
361,398,70,3,2,1,2,No,No,Yes,No,Penha
4428,759,84,3,2,1,1,No,No,Yes,No,Freguesia do Ó
895,320,39,2,2,1,1,No,No,No,No,Capão Redondo
806,550,35,1,2,1,1,Yes,Yes,Yes,No,Campo Belo
2709,1115,84,3,2,1,2,No,No,No,No,Mandaqui
9225,390,90,2,2,1,1,No,No,No,No,Pari
5222,900,126,3,4,3,2,Yes,Yes,Yes,No,Mooca
10540,870,75,2,1,0,1,No,No,No,No,Campo Belo
2339,639,72,3,2,1,1,No,Yes,Yes,No,Brás
125,530,63,3,2,1,1,Yes,No,Yes,No,Cidade Líder
3768,5000,360,4,5,4,4,No,No,Yes,No,Jardim Paulista
977,1200,185,4,5,3,2,Yes,No,Yes,No,Cidade Dutra
3251,600,60,2,1,0,1,No,No,No,No,Vila Matilde
2587,5200,420,4,5,4,4,No,No,Yes,No,Santa Cecília
5333,550,80,2,1,0,1,No,No,No,No,Mooca
10049,840,58,2,2,1,1,Yes,Yes,Yes,No,Vila Mariana
3950,390,50,2,1,0,1,No,No,Yes,No,Sacomã
349,515,53,2,2,1,1,No,No,No,No,Penha
4362,900,136,4,2,1,2,No,No,Yes,No,Butantã
3287,300,44,2,1,0,1,No,No,No,No,Vila Prudente
10363,1500,120,4,4,3,3,No,No,Yes,No,Santana
4123,2300,211,4,4,3,3,No,No,Yes,No,Vila Andrade
10485,885,128,4,3,2,2,No,No,No,No,Vila Prudente
621,260,40,2,2,1,1,No,No,No,No,Vila Jacuí
10767,0,40,1,1,0,1,No,No,No,No,Saúde
2714,685,95,3,2,1,2,No,Yes,Yes,No,Mandaqui
3021,0,217,1,1,0,2,No,No,No,No,Carrão
1106,470,58,1,2,1,1,Yes,No,No,No,Jabaquara
3573,450,49,1,2,1,1,Yes,No,Yes,No,Ipiranga
3603,1500,101,2,3,2,2,Yes,No,Yes,No,Itaim Bibi
9803,430,49,2,2,1,1,No,No,Yes,No,Vila Prudente
2525,590,48,2,1,0,0,No,No,No,No,República
9838,478,43,1,2,1,1,Yes,No,Yes,No,Campo Belo
4766,160,50,2,1,0,1,No,No,No,No,Pirituba
10184,2640,160,4,6,4,3,No,No,Yes,No,Pinheiros
10328,356,38,1,1,0,1,Yes,No,No,No,Liberdade
1586,2500,190,3,5,3,3,Yes,Yes,Yes,No,Alto de Pinheiros
1914,395,73,2,2,1,1,No,No,No,No,Limão
1644,630,65,2,2,1,1,Yes,No,Yes,No,Anhanguera
2456,700,35,1,1,0,1,No,Yes,Yes,No,Liberdade
3998,1850,208,3,2,1,2,No,No,No,No,Santo Amaro
2909,575,56,2,1,0,1,No,No,Yes,No,Água Rasa
1245,1150,100,2,2,1,1,No,No,Yes,No,Moema
4512,800,94,1,1,0,2,No,Yes,Yes,No,Lapa
465,0,60,3,2,1,1,Yes,No,Yes,No,São Mateus
4281,2500,163,3,4,3,3,No,No,Yes,No,Alto de Pinheiros
4668,1400,96,3,2,1,1,No,No,No,No,Perdizes
1108,560,65,2,2,1,1,Yes,No,No,No,Jabaquara
4083,1,72,3,1,0,1,No,No,No,No,Socorro
2696,804,90,3,1,0,2,No,No,Yes,No,Mandaqui
9584,0,67,2,2,1,1,No,No,No,No,Aricanduva
2812,670,55,2,1,0,1,No,No,No,No,Tucuruvi
